Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 None	0.0312	-0.0044	0.9834	0.0	0.0	0.0	0.154	-1.796	-114.044	24.78	-1509	-614	-3296	None	None	None	None	None	None	None	None
 None	0.0308	-0.0034	0.9834	0.0	0.0	0.0	0.154	-1.796	-114.044	24.77	-1510	-614	-3296	None	None	None	None	None	None	None	None
 None	0.0308	-0.0039	0.9834	0.0	0.0	0.0	0.154	-1.796	-114.044	24.74	-1509	-614	-3296	None	None	None	None	None	None	None	None
 None	0.0308	-0.0039	0.9834	0.0	0.0	0.0	0.154	-1.796	-114.044	24.76	-1510	-614	-3296	None	None	None	None	None	None	None	None
 None	0.0322	-0.0034	0.9839	0.0	0.0	0.0	0.154	-1.802	-114.044	24.76	-1510	-614	-3297	None	None	None	None	None	None	None	None
 None	0.0308	-0.0034	0.9834	0.0	0.0	0.0	0.154	-1.802	-114.044	24.78	-1510	-614	-3297	None	None	None	None	None	None	None	None
 None	0.0308	-0.0034	0.9829	0.0	0.0	0.0	0.154	-1.802	-114.044	24.73	-1510	-615	-3296	None	None	None	None	None	None	None	None
 None	0.0312	-0.0039	0.9839	0.0	0.0	0.0	0.154	-1.802	-114.044	24.73	-1510	-614	-3296	None	None	None	None	None	None	None	None
 None	0.0312	-0.0039	0.9839	0.0	0.0	0.0	0.154	-1.802	-114.044	24.73	-1510	-616	-3297	None	None	None	None	None	None	None	None
 None	0.0303	-0.0044	0.9834	0.0	0.0	0.0	0.154	-1.802	-114.044	24.76	-1511	-614	-3297	None	None	None	None	None	None	None	None
 None	0.0303	-0.0039	0.9844	0.0	0.0	0.0	0.154	-1.802	-114.044	24.76	-1510	-615	-3296	None	None	None	None	None	None	None	None
 None	0.0308	-0.0039	0.9844	0.0	0.0	0.0	0.154	-1.802	-114.044	24.74	-1510	-614	-3296	None	None	None	None	None	None	None	None
 None	0.0308	-0.0049	0.9844	0.0	0.0	0.0	0.154	-1.802	-114.044	24.77	-1510	-614	-3296	None	None	None	None	None	None	None	None
 None	0.0308	-0.0039	0.9829	0.0	0.0	0.0	0.154	-1.802	-114.044	24.75	-1512	-614	-3297	None	None	None	None	None	None	None	None
 None	0.0308	-0.0034	0.9834	0.0	0.0	0.0	0.154	-1.802	-114.044	24.77	-1511	-615	-3297	None	None	None	None	None	None	None	None
 None	0.0312	-0.0049	0.9839	0.0	0.0	0.0	0.154	-1.802	-114.044	24.76	-1511	-615	-3297	None	None	None	None	None	None	None	None
 None	0.0312	-0.0039	0.9839	0.0	0.0	0.0	0.154	-1.802	-114.044	24.78	-1512	-615	-3296	None	None	None	None	None	None	None	None
 None	0.0308	-0.0034	0.9839	0.0	0.0	0.0	0.154	-1.802	-114.044	24.73	-1511	-615	-3296	None	None	None	None	None	None	None	None
 None	0.0312	-0.0044	0.9834	0.0	0.0	0.0	0.154	-1.802	-114.044	24.76	-1511	-615	-3297	None	None	None	None	None	None	None	None
 None	0.0317	-0.0034	0.9834	0.0	0.0	0.0	0.154	-1.796	-114.044	24.76	-1511	-614	-3296	None	None	None	None	None	None	None	None
 None	0.0312	-0.0039	0.9834	0.0	0.0	0.0	0.154	-1.802	-114.044	24.76	-1511	-615	-3295	None	None	None	None	None	None	None	None
 None	0.0312	-0.0044	0.9834	0.0	0.0	0.0	0.154	-1.802	-114.044	24.73	-1511	-614	-3295	None	None	None	None	None	None	None	None
 None	0.0308	-0.0034	0.9844	0.0	0.0	0.0	0.154	-1.802	-114.044	24.74	-1511	-615	-3295	None	None	None	None	None	None	None	None
 None	0.0317	-0.0044	0.9834	0.0	0.0	0.0	0.154	-1.802	-114.044	24.73	-1511	-614	-3295	None	None	None	None	None	None	None	None
