Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 None	0.0737	-0.0645	0.9814	0.0	0.0	0.0	-3.395	-4.257	-100.338	24.65	-1712	-53	-3185	None	None	None	None	None	None	None	None
 None	0.0728	-0.0645	0.9814	0.0	0.0	0.0	-3.395	-4.257	-100.338	24.62	-1711	-53	-3185	None	None	None	None	None	None	None	None
 None	0.0723	-0.0649	0.981	0.0	0.0	0.0	-3.389	-4.257	-100.338	24.62	-1712	-53	-3185	None	None	None	None	None	None	None	None
 None	0.0732	-0.0649	0.981	0.0	0.0	0.0	-3.389	-4.257	-100.338	24.63	-1711	-53	-3184	None	None	None	None	None	None	None	None
 None	0.0723	-0.0654	0.9814	0.0	0.0	0.0	-3.389	-4.257	-100.338	24.62	-1712	-52	-3185	None	None	None	None	None	None	None	None
 None	0.0737	-0.0654	0.9814	0.0	0.0	0.0	-3.389	-4.257	-100.338	24.63	-1711	-52	-3186	None	None	None	None	None	None	None	None
 None	0.0732	-0.0649	0.981	0.0	0.0	0.0	-3.395	-4.257	-100.338	24.62	-1711	-52	-3185	None	None	None	None	None	None	None	None
 None	0.0732	-0.0649	0.9814	0.0	0.0	0.0	-3.395	-4.257	-100.338	24.61	-1711	-52	-3186	None	None	None	None	None	None	None	None
 None	0.0728	-0.0654	0.9819	0.0	0.0	0.0	-3.395	-4.257	-100.338	24.63	-1712	-52	-3185	None	None	None	None	None	None	None	None
 None	0.0732	-0.0654	0.981	0.0	0.0	0.0	-3.395	-4.257	-100.338	24.62	-1712	-51	-3185	None	None	None	None	None	None	None	None
 None	0.0732	-0.0645	0.9814	0.0	0.0	0.0	-3.395	-4.257	-100.338	24.66	-1710	-52	-3185	None	None	None	None	None	None	None	None
 None	0.0732	-0.0645	0.9824	0.0	0.0	0.0	-3.395	-4.257	-100.338	24.6	-1710	-52	-3186	None	None	None	None	None	None	None	None
 None	0.0732	-0.0645	0.9814	0.0	0.0	0.0	-3.395	-4.257	-100.338	24.61	-1711	-52	-3186	None	None	None	None	None	None	None	None
 None	0.0737	-0.0645	0.981	0.0	0.0	0.0	-3.395	-4.257	-100.338	24.6	-1709	-52	-3185	None	None	None	None	None	None	None	None
 None	0.0737	-0.0645	0.9819	0.0	0.0	0.0	-3.395	-4.257	-100.338	24.67	-1710	-52	-3187	None	None	None	None	None	None	None	None
 None	0.0732	-0.0649	0.9819	0.0	0.0	0.0	-3.395	-4.257	-100.338	24.62	-1711	-53	-3185	None	None	None	None	None	None	None	None
